# HTTP头
http://	http

# 议表地址
https://docs.qq.com/sheet/BFdiXU0nyc1W1kwuZl3Gx31r2KLm2k3F8YzI4	oyb

# 大牛网盘地址
http://daniushuangpin.ys168.com/	owp

# 小小键道地址
http://xxjd.ys168.com/	owp

# 星空输入法地址
https://xkinput.gitee.io	ogw

# 键道6更新记录地址
https://gitee.com/xkinput/Rime_JD/commits/master	ogx

# 星空方案单字查询
http://xkinput.gitee.io/tools/search	ocx

# 议表处理工具地址
https://xkinput.gitee.io/tools/contribution	ojl

# 快捷加词地址
https://docs.qq.com/form/fill/DRWlwcUplU3dzaEFq	ojc

# 小小键道地址
http://xxjd.ys168.com/	oxx

# rime键道地址
https://gitee.com/xkinput/Rime_JD/	orj
https://github.com/xkinput/Rime_JD	orj

# rime小小地址
https://github.com/lyserenity/rime_xkjd	orx

# Gmail邮箱
@gmail.com	;ag

# Outlook邮箱
@outlook.com	;ao

# QQ邮箱
@qq.com	;aq

# 网易邮箱
@163.com	;aw
